Date,Close,Open,High,Low,Volume,Unnamed: 6
2025-11-03,451.26,451.0,454.45,448.1,2390000.0,
2025-11-04,441.8,451.0,451.0,441.0,1930000.0,
2025-11-05,435.32,443.01,444.99,431.0,2740000.0,
2025-11-06,435.26,436.9,439.8,429.19,1880000.0,
2025-11-07,439.77,438.15,442.4,435.5,1860000.0,
2025-11-10,443.93,447.99,447.99,442.5,2230000.0,
2025-11-11,429.73,443.88,443.88,428.11,3050000.0,
2025-11-12,429.19,432.0,435.0,425.0,2820000.0,
2025-11-13,431.81,430.1,435.0,429.0,1470000.0,
2025-11-14,434.36,432.9,441.45,431.99,3080000.0,
2025-11-17,434.54,437.0,441.0,432.99,2120000.0,
2025-11-18,435.89,434.99,439.0,432.5,911590.0,
2025-11-19,449.17,436.99,452.25,435.49,6460000.0,
2025-11-20,453.59,450.5,457.68,450.5,3500000.0,
2025-11-21,448.68,452.99,454.0,447.5,1920000.0,
2025-11-24,445.46,450.0,454.71,443.99,2000000.0,
2025-11-25,441.52,447.35,447.97,440.77,854700.0,
2025-11-26,446.24,441.79,448.1,430.0,3170000.0,
2025-11-27,452.36,448.98,454.5,445.0,3940000.0,
2025-11-28,453.38,454.9,458.0,452.0,3820000.0,
2025-12-01,459.63,453.99,463.75,449.99,3600000.0,
2025-12-02,455.92,459.5,465.0,455.0,2940000.0,
2025-12-03,456.13,456.0,459.98,453.0,2300000.0,
2025-12-04,459.83,457.0,460.9,454.8,3090000.0,
2025-12-05,464.64,465.0,467.51,460.7,3610000.0,
2025-12-08,467.58,467.01,471.2,465.51,3320000.0,
2025-12-09,478.64,469.39,479.89,468.79,8570000.0,
2025-12-10,472.32,479.98,484.0,470.26,4560000.0,
2025-12-11,467.87,475.99,478.02,467.0,2860000.0,
2025-12-12,469.36,470.0,473.25,465.1,2260000.0,
2025-12-15,467.5,474.99,475.0,466.25,2150000.0,
2025-12-16,464.71,470.0,472.4,463.5,1450000.0,
2025-12-17,460.29,464.71,466.89,458.5,1640000.0,
2025-12-18,458.41,458.77,461.0,456.8,1450000.0,
2025-12-19,459.33,460.0,464.35,458.0,1990000.0,
2025-12-22,454.84,459.0,459.84,453.0,1950000.0,
2025-12-23,450.66,457.9,457.9,450.0,1110000.0,
2025-12-24,456.16,452.94,458.24,450.0,1240000.0,
2025-12-26,457.57,457.9,459.49,455.8,1560000.0,
2025-12-29,462.94,459.0,464.95,458.3,2830000.0,
2025-12-30,473.54,465.0,475.15,463.3,5000000.0,
2025-12-31,474.16,475.0,481.85,473.0,4700000.0,
